Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
,3,56,26,71,379,192,89,100,145,154,67,186,250,278,356,,,92.8,2
,3,53 56,103,44,379,174,87,101,126,150,161,173,196,249,299,,,93.8,2
,4,54,2,162,164,163,,,158,158,158,158,158,171,171,,,95.2,2
,4,55,24,44,238,136,68,76,105,123,134,145,165,,219,,,95.3,2
,4,54 55,26,44,238,138,71,76,111,123,140,154,162,181,2014,,,93.2,2
,,,6,87,642,241,,89,105,105,171,201,201,327,327,,,94.9,2
,,54,68,79,399,205,112,145,159,174,198,217,241,273,311,,,92.9,2
,,55,102,44,466,185,89,105,131,151,169,190,219,257,327,,,95.1,2
,,56,58,71,379,209,105,138,162,191,210,222,236,272,335,,,92.3,2
,,57,25,94,330,197,105,138,155,166,186,201,227,278,315,,,95.5,2
,,53 57,259,44,642,198,97,127,149,166,187,209,232,266,320,,,93.2,2
BINGHAMTON N Y,1,57,26,54,224,94,58,65,72,76,89,99,105,119,130,,,92.3,2
BUFFALO N Y,1,57,6,70,388,166,71,71,76,76,105,171,171,236,236,,,92.9,2
,2,57,15,80,607,241,123,130,145,158,181,191,278,327,580,,,92.4,2
,,57,21,70,607,220,76,105,130,145,171,191,236,327,453,,,94.2,2
SCHENECTADY N,1,57,22,38,143,7.7,47,51,58,65,76,85,92,102,123,,,92.6,2
SYRACUSE N Y,1,57,26,40,347,119,47,65,80,89,105,125,134,158,186,,,91.0,2
UTICA N Y,1,57,24,44,228,120,60,69,74,100,114,130,,179,,,,94.1,2
PHILADELPHIA PA,1,53,8,92,414,265,105,201,201,236,257,278,385,385,419,,,93.5,2
,1,54,75,37,760,202,87,108,130,153,174,198,226,257,766,,,94.7,2
,,55,289,56,576,210,117,144,157,170,196,217,241,279,319,,,94.7,2
,1,56,307,66,761,220,128,148,167,184,200,217,234,271,325,,,95.3,2
,1,53 56,679,37,761,214,116,143,159,176,197,216,236,274,325,,,93.1,2
,2,54,6,339,696,533,385,385,533,533,564,596,596,627,627,,,93.5,2
,2,,19,158,550,345,236,264,286,303,319,327,408,453,506,,,92.7,2
,2,54 55,25,158,696,390,250,278,303,319,3865,430,493,533,604,,,93.1,2
,3,53,6,71,376,170,71,71,76,76,112,219,219,236,236,,,91.3,2
,3,54,26,29,382,123,67,71,76,89,,127,136,158,201,,,92.1,2
,3,55,14,94,238,145,93,101,105,117,123,154,171,181,201,,,95.3,2
,3,53 55,46,29,382,138,69,75,92,102,117,136,155,186,224,,,93.7,2
,4,55,27,,,311,194,207,,247,278,303,356,430,480,,,92.6,2
,4,,23%,,1,286,135,167,193,218,243,266,3021,370,,,,89.8,2
,4,57,25,86,323,203,134,145,165,1861,207,219,236,257,294,,,93.5,2
,4,55 S57,285,51,1 o11,281,140,168,195,217,240,264,298,361,499,,,90.7,2
,5,55,24,44,327,127,,78,83,89,97,105,130,145,278,,,92.9,2
,,36,41,66,2963,178,80,By,112,129,152,167,208,236,311,,,87.9,2
,5,55 56,65,44,563,159,77,84,94,110,129,149,181,224,298,,,94.7,2
,6,55,12,84,271,177,89,134,154,162,1721,201,210,227,236,,,92.4,2
,6,56,42,91,581,192,125,131,140,149,167,181,194,222,303,,,91.6,2
,6,55 56,54,84,281,189,124,133,141,154,168,1853,201,220,278,,,91.0,2
,7,55,6,135,316,240,145,145,201,2,236,294,294,,311,,,94.2,2
,7,56,38,76,910,229,94,132,145,162,191,216,236,268,385,,,93.7,2
,7,55 36,44,76,910,230,94,134,149,171,201,219,247,288,385,,,93.2,2
,,,14,71,414,224,71,89,105,213,224,236,278,356,419,,,92.8,2
,,54,107,29,760,203,76,94,116,137,160,186,220,,385,,,95.4,2
,,55,391,44,621,215,107,137,156,172,200,223,252,290,331,,,94.4,2
,,56,661,,1,239,123,146,166,186,207,228,256,298,401,,,93.0,2
,,57,25,86,323,203,134,145,165,181,207,219,236,257,294,,,94.1,2
,,53 57,1198,29,1,227,,138,158,178,202,223,251,292,373,,,92.3,2
ALTOONA PA,1,55,3,82,125,,,89,89,89,105,105,105,105,145,,,92.1,2
,1,96,24,61,411,,71,80,83,89,117,127,141,158,191,,,89.6,2
,1,55 56,27,61,411,125,76,79,84,89,117,127,1368,158,181,,,88.5,2
BRISTOL PA,1,55,31,27,229,96,47,65,73,81,92,100,108,117,145,,,92.6,2
,1,56,12,52,177,107,55,65,89,97,105,114,123,145,,,,92.6,2
,1,55 56,43,27,229,99,51,68,78,85,95,103,112,121,158,,,93.5,2
CHE 3 TER PA,1,55,31,40,273,134,76,94,102,123,136,145,158,171,194,,,93.8,2
,1,56,13,38,323,136,40,65,76,97,123,158,171,186,236,,,93.1,2
,1,55,44,38,323,135,65,91,99,117,132,145,161,176,201,,,93.5,2
ERIE PA,1,55,1,90,90,90,,,,,105,105,105,105,105,,,93.5,2
,1,56,49,25,550,80,36,42,46,53,63,70,77,B5,97,,,93.9,2
,1,55 56,50,25,550,80,36,42,46,53,63,71,79,86,99,,,94.2,2
PITTSBURGH PA,1,,,43,,134,,83,95,104,121,134,150,164,222,,,93.2,3
,2,57,23,78,534,203,85,100,134,158,181,191,201,257,419,,,92.3,3
,,56 57,94,43,534,150,73,89,99,111,129,143,,196,253,,,92.3,3
WELL ITAMSPORT PA,1,55,6,85,268,178,89,89,145,145,171,219,219,236,236,,,84.5,3
,,56,40,74,515,213,123,152,165,179,194,215,247,285,313,,,93.1,3
,1,56,46,74,515,209,123,148,162,175,194,216,236,278,306,,,94.3,3
ALLENTOWN PA,1,57,20,41,214,111,55,71,83,105,111,117,123,145,171,,,93.8,3
JOHNSTOWN PA,1,57,ii,33,268,165,34,97,105,130,145,219,236,250,264,,,95.1,3
LANCASTER PA,1,57,11,65,199,113,65,76,83,89,105,130,138,145,171,,,89.6,3
SCRANTON P-A,1,57,26,62,466,176,76,89,101,114,134,186,219,264,303,,,90.6,3
WASHINGTON OC,1,53,10,93,276,162,105,114,123,130,138,145,171,236,257,,,91.8,3
,1,54,34,66,186,119,83,96,103,111,117,123,134,142,165,,,94.8,3
,1,53 54,44,66,276,129,89,99,107,115,121,129,139,150,186,,,94.8,3
,,55,47,70,263,161,114,129,138,147,159,169,181,194,210,,,93.6,3
,,56,23,84,459,192,123,136,145,158,177,189,201,224,303,,,92.6,3
,,55 56,70,70,459,171,117,131,140,150,162,175,187,199,231,,,92.5,3
,3,,14,67,198,104,69,76,91,96,98,100,105,114,145,,,93.7,3
,3,57,26,41,258,94,55,62,76,81,89,99,105,119,130,,,90.8,3
,,56 57,40,41,258,97,58,69,719,89,94,100,105,117,134,,,91.1,3
,,53,10,93,276,162,105,114,123,130,138,145,171,236,257,,,94.2,3
,,54,34,66,186,119,83,96,103,111,117,123,134,142,165,,,93.0,3
,,55,47,70,263,161,114,129,138,147,159,169,181,194,210,,,93.8,3
,,56,3.7,67,459,159,89,96,105,127,141,158,181,201,236,,,91.8,3
,,57,26,41,258,94,55,62,76,,89,99,105,119,130,,,95.4,3
,,53 57,154,41,459,140,76,95,1906,120,131,142,159,180,210,,,92.3,3
LOUISVILLE KY,1,54,22,72,384,192,105,123,145,171,180,1688,197,278,311,,,92.8,3
,1,55,29,82,353,192,111,130,149,162,177,189,2153,250,303,,,89.1,3
,1,56,22,81,219,129,92,99,109,116,123,132,141,158,171,,,91.1,3
,1,57,1,130,130,130,,,,,145,145,145,145,145,,,94.4,3
,1,54 57,74,72,384,172,98,i114,127,141,156,171,189,215,288,,,93.4,3
,2,54,13,65,260,138,65,94,100,105,130,138,145,186,236,,,94.5,3
,2,55,16,59,234,150,65,105,123,134,154,171,181,201,213,,,93.7,3
,2,56,5,48,159,114,55,55,114,114,123,123,145,145,171,,,94.6,3
,2,54 56,34,48,260,140,62,97,109,123,134,145,171,189,219,,,92.9,3
,3,54,5,78,124,103,89,89,97,97,105,105,123,123,145,,,94.5,3
,4,57,16,115,358,209,145,154,171,181,201,224,236,264,278,,,95.5,3
,,54,40,65,384,163,89,100,114,129,142,174,188,201,278,,,95.1,3
,,55,45,59,353,177,105,119,141,154,168,182,201,224,278,,,93.9,3
,,56,27,48,2.19,12.6,92,99,108,115,,130,141,1s5,166,,,90.9,3
,,57,17,115,358,205,134,145,162,181,201,213,236,264,278,,,92.6,3
,,54 57,129,48,384,166,94,109,123,137,153,170,188,213,262,,,91.4,3
BALTIMORE MO,1,56,28,10 4,729,247,123,145,162,183,201,227,290,315,430,,,92.6,3
,1,57,26,,301,150,97,105,116,123,134,145,162,201,250,,,94.7,3
,1,56 57,54,77,729,200,100,117,130,145,167,188,222,268,327,,,93.8,3
CHARLOTTE NC,1,,25,45,322,125,65,76,94,105,123,130,141,154,201,,,92.0,3
WENSTON SALEM NC,1,57,26,28,228,97,57,61,71,80,92,100,105,123,145,,,89.8,3
SAN JUAN PUERTO RICO,1,57,21,45,132,73,49,52,55,62,69,74,79,B86,105,,,91.2,3
NORFOLK VA,1,57,25,60,168,111,83,89,101,107,112,116,,130,154,,,92.9,3
RICHMOND VA,1,57,26,50,232,,60,67,74,89,96,103,111,130,145,,,90.4,3
CHARLESTON W VA,1,53,6,101,764,296,105,105,111i,111,117,123,123,627,627,,,91.9,3
,1,54,,6 3,561,274,83,,152,172,236,315,385,453,533,,,89.2,3
,1,53 54,6,63,764,277,89,108,120,158,224,315,385,480,,,,94.6,3
,2,54,9,58,S77,238,65,83,89,123,145,145,,327,533,,,94.6,3
,2,55,32,67,793,292,73,89,134,172,294,337,366,430,530,,,92.0,3
,2,56,23,60,696,255,76,101,123,154,201,303,346,385,493,,,94.2,3
,2,57,23,44,655,207,58,76,85,97,123,186,278,385,493,,,93.9,3
,2,54 57,87,44,793,254,71,85,105,136,191,296,350,414,506,,,93.1,3
,,53,6,1072,764,296,105,105,1it,111,117,123,123,627,627,,,91.0,3
,,54,39,58,577,265,79,105,,165,236,303,356,453,5 3.3,,,92.0,3
,,55,32,67,793,292,73,89,134,171,294,337,366,430,5380,,,91.3,3
,,56,23,60,696,255,76,101,123,154,201,303,346,385,493,,,94.9,3
,,57,23,44,655,207,,76,85,,123,186,278,385,493,,,93.9,3
,,53 57,123,44,793,261,73,93,113,142,210,303,356,426,,,,94.5,3
WHEELING W VA,1,,,96,419,180,94,100,105,123,145,158,171,236,385,,,93.1,3
,1,57,25,137,344,201,148,154,162,168,191,207,224,236,303,,,94.2,3
,1,56 57,36,96,419,195,123,140,152,159,169,201,216,236,303,,,94.7,3
BIRMINGHAM ALA,1,57,25,50,285,ies,65,81,89,100,117,145,161,17121,201,,,89.5,3
TAMPA FLA,1,,5,69,377,151,76,76,89,89,105,105,145,145,3a5,,,92.7,3
,1,54,44,35,153,78,44,52,56,64,72,85,96,103,123,,,94.7,3
,1,55,44,33,172,101,67,7.6,83,91,96,101,,123,152,,,93.9,3
,1,56,38,31,171,92,58,67,70,74,85,101,113,120,136,,,91.8,3
,1,57,26,34,168,79,55,62,68,71,76,83,87,97,105,,,89.7,3
,1,53,157,31,377,91,52,63,70,76,86,94,102,115,137,,,94.2,3
MIAMI FLA,1,,25,31,106,63,,,,,,,,,,,,92.7,4
ATLANTA GA,1,,2,98,126,112,,,105,105,105,105,105,145,145,,,95.0,4
,1,54,42,55,261,,89,100,114,125,135,145,160,183,213,,,94.2,4
,1,55,75,65,421,142,92,98,105,119,132,143,160,179,211,,,93.7,4
,1,56,34,62,319,153,79,89,108,118,130,150,171,213,278,,,93.5,4
,1,57,26,50,228,105,65,80,65,89,97,105,112,125,154,,,91.5,4
,1,57,179,50,421,138,83,94,103,114,126,140,156,175,214,,,94.6,4
,2,54,8,31,101,59,32,34,34,40,55,65,76,76,97,,,92.6,4
,,53,2,98,126,112,,,105,105,105,105,105,145,145,,,94.2,4
,,54,50,31,261,128,55,89,99,11l,125,138,152,171,201,,,91.4,4
,,55,75,65,421,142,92,98,105,119,132,143,160,,211,,,94.4,4
,,56,34,62,319,153,79,89,108,118,130,150,171,213,278,,,93.1,4
,,57,26,530,228,105,65,80,85,89,125,105,112,123,154,,,87.9,4
,,57,187,31,421,135,78,91,100,110,,137,154,173,211,,,94.7,4
COLUMBUS GA,1,57,27,37,209,102,55,65,72,89,101,110,123,136,145,,,93.2,4
JACKSON MISS,1,57,24,15,198,76,21,49,53,60,65,76,86,105,145,,,94.7,4
COLUMBIA sc,1,57,24,35,209,111,65,84,89,95,99,103,132,141,171,,,90.5,4
GREENVILLE sc,1,57,29,46,285,107,58,65,76,86,94,100,i123,145,171,,,91.6,4
CHATTANOOGA TENN,1,54,10,,283,180,55,89,123,145,201,236,250,264,278,,,94.0,4
,1,,10,115,350,227,114,123,145,171,236,257,278,327,356,,,95.2,4
,1,54 55,20,52,350,203,89,117,134,1721,219,244,261,278,327,,,92.6,4
,2,54,32,25,336,107,32,40,55,72,100,123,136,162,191,,,94.5,4
,2,55,10,35,214,89,40,47,65,71,76,83,89,105,145,,,94.7,4
,2,55,42,25,336,102,33,42,60,72,89,105,130,154,191,,,94.5,4
,3,55,30,33,237,118,58,67,72,93,105,119,145,183,2ul,,,93.3,4
,3,56,24,71,264,151,80,105,117,134,145,155,171,191,250,,,91.0,4
,3,57,13,64,565,175,65,83,89,94,105,158,171,236,327,,,94.6,4
,3,55 57,67,33,565,141,66,75,91,105,123,145,168,194,236,,,93.8,4
,4,55,35,91,535,230,129,145,166,181,201,227,286,311,408,,,93.9,4
,4,56,24,92,644,,145,1861,201,222,236,253,278,303,385,,,91.6,4
,4,57,18,120,385,219,145,158,165,179,194,219,278,294,327,,,95.3,4
,4,95 57,77,91,644,235,134,154,173,192,214,236,278,308,356,,,92.9,4
,,54,42,25,336,124,33,47,69,94,117,134,154,194,250,,,95.1,4
,,55,85,33,535,174,66,83,110,129,156,182,210,253,320,,,94.3,4
,,56,48,71,644,203,97,127,145,164,186,2135,241,262,303,,,90.9,4
,,57,31,6 4,565,200,83,100,145,158,179,201,236,290,327,,,90.7,4
,,54 57,206,25,644,174,65,87,112,135,159,183,210,252,306,,,94.1,4
KNOXVILLE TENN,1,57,26,68,245,136,80,89,108,114,123,140,152,171,219,,,92.9,4
NASHVILLE TENN,1,57,26,71,317,135,83,92,99,111,127,141,155,166,191,,,92.8,4
CHICAGO PLL,1,54,31,44,678,250,94,111,134,171,219,257,294,346,564,,,92.3,4
,1,55,61,31,594,241,94,129,156,186,226,270,303,342,419,,,94.2,4
,1,56,11,146,626,321,158,171,201,257,303,327,419,453,533,,,90.4,4
,1,54 56,103,31,678,252,95,130,159,190,232,270,304,352,445,,,94.7,4
,2,54,33,104,,322,145,194,224,250,278,344,368,408,564,,,95.1,4
,2,55,49,106,641,312,171,236,252,268,289,311,346,402,,,,94.8,4
,2,56,14,200,508,323,201,236,250,278,294,311,356,385,493,,,95.1,4
,2,54 56,96,104,865,317,175,211,246,263,286,323,358,411,493,,,93.2,4
,3,54,38,15,317,119,49,58,71,84,97,134,158,,213,,,92.3,4
,4,54,7,30,263,204,34,34,186,201,236,236,250,264,264,,,92.9,4
,4,55,94,14,539,183,67,99,129,150,173,194,228,261,309,,,92.3,4
,4,56,9,35,512,200,40,44,47,105,219,219,236,278,453,,,95.4,4
,4,54 56,110,14,539,186,62,94,129,153,179,201,233,262,3U9,,,90.8,4
,5,57,8,109,418,194,114,123,123,145,158,171,236,236,278,,,93.9,4
,,54,109,15,B65,223,62,93,127,162,191,224,260,327,408,,,90.3,4
,,55,204,14,641,231,89,129,155,185,219,251,282,318,399,,,94.9,4
,,56,34,35,626,290,47,186,219,250,271,298,356,419,493,,,95.2,4
,,57,355,109,418,194,114,123,123,145,158,171,236,236,278,,,94.6,4
,,54 57,,14,865,234,78,116,152,181,215,249,279,326,419,,,94.1,4
EAST ST LOUIS PLL,1,55,19,80,357,226,145,177,189,201,215,222,236,,346,,,91.2,4
,1,56,31,167,608,291,191,210,223,236,264,288,317,366,430,,,94.8,4
,1,55 56,50,80,608,266,175,194,209,223,236,271,303,337,3u5,,,94.1,4
,2,55,18,32,280,129,76,85,89,100,123,138,158,,191,,,93.9,4
,2,56,33,68,311,147,76,99,108,115,134,154,167,186,236,,,94.3,4
,2,55 56,Si,32,311,141,76,91,101,112,127,148,165,184,219,,,92.6,4
,,55,37,32,357,179,83,94,129,154,179,190,208,236,315,,,92.8,4
,,56,64,68,608,217,95,115,149,175,201,222,254,292,366,,,95.0,4
,,56,101,32,608,203,89,110,138,166,189,210,234,287,337,,,94.8,4
SPRINGFIELD PEL,1,57,20,42,210,94,47,62,71,79,86,94,105,123,145,,,90.5,4
EAST CHICAGO INO,1,,20,121,852,334,154,171,213,236,327,350,373,453,,,,89.3,5
,1,,20,140,720,354,201,247,268,278,385,402,436,455,,,,90.2,5
,1,,,66,978,306,123,145,236,250,264,278,311,385,493,,,93.1,5
,1,55 57,,66,978,329,145,201,240,259,288,335,385,442,,,,93.2,5
,2,55,22,69,677,282,145,155,171,247,268,294,327,385,453,,,93.3,5
,2,56,is,122,564,269,134,145,171,201,236,278,327,3865,533,,,88.3,5
,2,57,22,74,545,224,105,,171,186,201,224,257,303,327,,,93.1,5
,2,55 57,,69,677,257,130,154,169,201,236,266,300,339,430,,,92.9,5
,3,55,20,91,350,197,100,129,140,171,201,219,236,257,278,,,93.8,5
,3,56,19,719,405,263,97,179,194,236,294,311,342,371,,,,91.9,5
,3,,,6 3,442,216,123,145,158,179,194,215,236,278,327,,,90.3,5
,3,55 57,,63,442,225s,102,134,171,189,210,232,271,327,375,,,92.1,5
,4,55,16,76,410,203,89,117,,179,194,219,257,278,311,,,93.1,5
,4,56,19,97,395,209,100,114,134,154,171,201,236,327,,,,92.6,5
,4,57,20,55,345,187,65,105,145,177,189,201,224,257,303,,,93.9,5
,4,55 57,57,35,410,199,93,111,134,171,189,206,236,292,327,,,91.6,5
,,55,80,69,852,256,114,145,168,201,229,259,299,350,419,,,93.9,5
,,56,6%,79,720,269,111,145,175,208,257,303,349,392,439,,,89.9,5
,,57,80,,978,233,105,141,171,189,,236,267,300,366,,,94.9,5
,,35 57,228,55,978,252,110,144,171,197,,260,299,346,,,,88.8,5
EVANSVILLE IND,1,57,25,13,170,97,65,69,76,89,97,102,125,130,141,,,91.1,5
FORT WAYNE IND,1,57,26,70,304,138,80,94,105,116,126,136,145,161,219,,,93.1,5
INO,1,57,26,87,260,149,109,116,126,132,142,155,166,183,195,,,90.0,5
DETROIT MICH,1,53,33,137,716,344,154,186,219,290,342,385,453,487,533,,,93.9,5
,,54,19,173,743,334,186,201,264,288,307,317,356,408,453,,,94.7,5
,1,53 54,,137,743,340,171,190,247,289,316,356,408,476,533,,,93.7,5
,2,56,30,89,344,169,110,123,136,148,155,163,171,215,236,,,90.8,5
,3,56,33,23,257,106,40,52,58,76,97,105,123,158,219,,,94.2,5
,4,57,23,48,303,148,89,105,112,119,138,154,171,201,236,,,93.4,5
,,53,33,137,716,344,154,186,219,290,342,385,453,487,533,,,94.4,5
,,54,19,173,743,334,186,201,264,288,307,317,356,408,453,,,95.2,5
,,56,63,23,344,136,50,76,98,113,134,151,162,201,228,,,94.2,5
,,57,23,438,303,148,89,105,,119,138,154,171,201,236,,,92.3,5
,,53 57,1 36,23,743,215,76,107,,152,170,206,248,314,430,,,93.1,5
GRAND RAPIDS MICH,1,57,18,86,355,154,85,93,97,105,117,145,171,219,278,,,88.4,5
KALAMAZOO MICH,1,57,25,37,181,83,44,47,55,62,76,89,99,105,158,,,91.3,5
LANSING MiCH,1,57,26,34,152,91,52,60,72,79,86,105,110,118,123,,,91.5,5
FLINT MICH,1,57,26,70,235,134,85,97,110,115,123,136,145,171,,,,93.0,5
CINCIENWATI OHIO,1,53,,109,444,217,117,129,134,145,171,201,236,327,305,,,87.2,5
,1,54,89,,656,1535,89,108,119,130,144,156,169,187,224,,,90.6,5
,1,55,46,106,430,193,120,131,145,155,168,195,219,250,278,,,93.2,5
,,56,44,71,,190,100,125,135,154,179,194,216,236,294,,,92.4,5
,1,,26,72,237,134,85,94,110,119,134,148,155,165,171,,,93.1,5
,1,53 57,223,,656,172,98,115,127,140,153,168,187,215,270,,,94.5,5
,2,53,4,32,328,149,,34,34,123,123,123,145,145,,,,95.6,5
,2,54,59,39,534,120,60,73,80,87,102,115,,154,191,,,92.0,5
,2,55,5,94,196,151,105,105,,123,171,171,186,186,201,,,92.0,5
,2,53 55,66,32,534,124,60,74,81,89,107,,140,160,195,,,92.3,5
,3,53,3,80,249,139,,83,83,83,89,89,89,89,278,,,92.1,5
,3,54,70,32,364,97,55,,69,77,86,96,105,,152,,,92.1,5
